0,	10,	20,	30,	40
-16,	-4.44,	-2.22,	-2.22,	-1.11,	-1.11
-14,	0.00,	0.00,	0.00,	2.22,	2.22
-12,	2.22,	1.11,	2.22,	3.33,	3.33
-10,	4.44,	3.33,	3.33,	3.33,	3.33
-8,	4.44,	4.44,	4.44,	4.44,	4.44
-6,	4.44,	4.44,	4.44,	4.44,	4.44
-4,	4.44,	4.44,	4.44,	4.44,	4.44
-2,	4.44,	4.44,	4.44,	4.44,	4.44
0,	4.44,	4.44,	4.44,	4.44,	4.44
2,	4.44,	4.44,	4.44,	4.44,	4.44
4,	4.44,	4.44,	4.44,	4.44,	4.44
6,	4.44,	4.44,	4.44,	4.44,	4.44
8,	4.44,	4.44,	4.44,	4.44,	4.44
10,	4.44,	3.33,	3.33,	3.33,	3.33
12,	2.22,	1.11,	2.22,	3.33,	3.33
14,	0.00,	0.00,	0.00,	2.22,	2.22
16,	-4.44,	-2.22,	-2.22,	-1.11,	-1.11
