0,	10,	20,	30,	40
-16,	-1.883,	-2.083,	-2.083,	-1.11,	-1.11
-14,	-1.483,	-1.483,	-1.483,	-1.083,	-1.083
-12,	-1.283,	-1.283,	-1.283,	-0.883,	-0.883
-10,	-0.683,	-0.883,	-0.883,	-0.883,	-0.883
-8,	-0.683,	-0.683,	-0.683,	-0.683,	-0.683
-6,	-0.683,	-0.683,	-0.683,	-0.683,	-0.683
-4,	-0.683,	-0.683,	-0.683,	-0.683,	-0.683
-2,	-0.683,	-0.683,	-0.683,	-0.683,	-0.683
0,	-0.683,	-0.683,	-0.683,	-0.683,	-0.683
2,	-0.683,	-0.683,	-0.683,	-0.683,	-0.683
4,	-0.683,	-0.683,	-0.683,	-0.683,	-0.683
6,	-0.683,	-0.683,	-0.683,	-0.683,	-0.683
8,	-0.683,	-0.683,	-0.683,	-0.683,	-0.683
10,	-0.683,	-0.883,	-0.883,	-0.883,	-0.883
12,	-1.083,	-1.283,	-1.083,	-0.883,	-0.883
14,	-1.483,	-1.483,	-1.483,	-1.083,	-1.083
16,	-1.883,	-2.083,	-2.083,	-1.283,	-1.283
